,Model,CER
0,gpt-4o,0.7769436836242676
1,gpt-4o,0.7640645503997803
2,gpt-4o,0.706904411315918
3,gpt-4o,0.7114771604537964
4,gpt-4o,0.6703887581825256
5,gpt-4o,0.7891325950622559
6,gpt-4o,3.520339012145996
7,gpt-4o,0.7914650440216064
8,gpt-4o,0.7173645496368408
9,gpt-4o,0.8554604053497314
10,gpt-4o,0.7931516170501709
11,gpt-4o,2.5619187355041504
12,gpt-4o,0.7731015682220459
13,gpt-4o,0.7933884263038635
14,gpt-4o,0.7218390703201294
15,gpt-4o,0.7293064594268799
16,gpt-4o,0.7012561559677124
17,gpt-4o,0.6902523636817932
18,gpt-4o,0.8001132607460022
19,gpt-4o,0.8319018483161926
20,claude-3-5-sonnet-20240620,0.7426273226737976
21,claude-3-5-sonnet-20240620,0.6232010722160339
22,claude-3-5-sonnet-20240620,0.6442615389823914
23,claude-3-5-sonnet-20240620,0.595111608505249
24,claude-3-5-sonnet-20240620,0.6790736317634583
25,claude-3-5-sonnet-20240620,0.6335992217063904
26,claude-3-5-sonnet-20240620,0.7344632744789124
27,claude-3-5-sonnet-20240620,0.6238451600074768
28,claude-3-5-sonnet-20240620,0.6976600885391235
29,claude-3-5-sonnet-20240620,0.7355460524559021
30,claude-3-5-sonnet-20240620,0.7547169923782349
31,claude-3-5-sonnet-20240620,0.7493881583213806
32,claude-3-5-sonnet-20240620,0.7708142995834351
33,claude-3-5-sonnet-20240620,0.62861567735672
34,claude-3-5-sonnet-20240620,1.2385057210922241
35,claude-3-5-sonnet-20240620,0.6979866027832031
36,claude-3-5-sonnet-20240620,0.6821408867835999
37,claude-3-5-sonnet-20240620,0.7491340637207031
38,claude-3-5-sonnet-20240620,0.7219705581665039
39,claude-3-5-sonnet-20240620,0.6944785118103027
40,EasyOCR,0.7983914017677307
41,EasyOCR,0.8041866421699524
42,EasyOCR,0.7887517213821411
43,EasyOCR,0.8087141513824463
44,EasyOCR,0.8014888167381287
45,EasyOCR,0.8000997304916382
46,EasyOCR,0.8056496977806091
47,EasyOCR,0.802463710308075
48,EasyOCR,0.8177340030670166
49,EasyOCR,0.8051391839981079
50,EasyOCR,0.8280922174453735
51,EasyOCR,0.8061674237251282
52,EasyOCR,0.7891125082969666
53,EasyOCR,0.80888432264328
54,EasyOCR,0.8201149702072144
55,EasyOCR,0.8076062798500061
56,EasyOCR,0.8022938370704651
57,EasyOCR,0.8095002770423889
58,EasyOCR,0.8080407977104187
59,EasyOCR,0.8061349987983704
60,Pytesseract,0.8123324513435364
61,Pytesseract,0.8512865304946899
62,Pytesseract,0.8655692934989929
63,Pytesseract,0.8395324349403381
64,Pytesseract,0.8643506765365601
65,Pytesseract,0.8120638132095337
66,Pytesseract,0.805084764957428
67,Pytesseract,0.8565772175788879
68,Pytesseract,0.8214285969734192
69,Pytesseract,0.8345824480056763
70,Pytesseract,0.8022361993789673
71,Pytesseract,0.8135095238685608
72,Pytesseract,0.8115279078483582
73,Pytesseract,0.8347107172012329
74,Pytesseract,0.8143678307533264
75,Pytesseract,0.8366890549659729
76,Pytesseract,0.8448935151100159
77,Pytesseract,0.857991099357605
78,Pytesseract,0.8516421318054199
79,Pytesseract,0.8171778917312622
80,KerasOCR,0.8359249234199524
81,KerasOCR,0.8617531657218933
82,KerasOCR,0.8523091077804565
83,KerasOCR,0.8453772664070129
84,KerasOCR,0.8585608005523682
85,KerasOCR,0.8424725532531738
86,KerasOCR,0.8361582159996033
87,KerasOCR,0.8552573919296265
88,KerasOCR,0.8423645496368408
89,KerasOCR,0.8479657173156738
90,KerasOCR,0.8364779949188232
91,KerasOCR,0.8575624227523804
92,KerasOCR,0.8563586473464966
93,KerasOCR,0.8548553586006165
94,KerasOCR,0.8591954112052917
95,KerasOCR,0.8579418063163757
96,KerasOCR,0.8465319275856018
97,KerasOCR,0.8510638475418091
98,KerasOCR,0.8454133868217468
99,KerasOCR,0.8472392559051514
