model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
gpt_one_example,17,0.2568064764897229,"[0.4495114006514658, 0.2908496732026144, 0.25245901639344265, 0.23684210526315788]",0.8636568058328686,0.8721590909090909,307,352
gpt_one_example,16,0.030023176940430305,"[0.25252525252525254, 0.1065989847715736, 0.030612244897959183, 0.015384615384615385]",0.5031491223733818,0.592814371257485,198,334
gpt_one_example,14,0.2710055646316336,"[0.4820846905537459, 0.3202614379084967, 0.2721311475409836, 0.23684210526315788]",0.8580486645261058,0.867231638418079,307,354
gpt_one_example,15,0.2905277900062962,"[0.42996742671009774, 0.30718954248366015, 0.25573770491803277, 0.24342105263157895]",0.9648036991628913,0.9654088050314465,307,318
gpt_one_example,11,0.2881527394644356,"[0.4006514657980456, 0.2875816993464052, 0.24918032786885247, 0.24013157894736842]",1.0,1.0848056537102473,307,283
gpt_one_example,10,0.2681712570048089,"[0.48859934853420195, 0.3104575163398693, 0.26885245901639343, 0.24013157894736842]",0.8524769395929584,0.8623595505617978,307,356
gpt_one_example,12,0.24451545763668034,"[0.49185667752442996, 0.3104575163398693, 0.25901639344262295, 0.24013157894736842]",0.7832528783571909,0.8036649214659686,307,382
gpt_one_example,13,0.22902597893812912,"[0.5309446254071661, 0.3104575163398693, 0.26229508196721313, 0.24671052631578946]",0.7126518868840384,0.7469586374695864,307,411
gpt_one_example,8,0.1239522544068852,"[0.7045454545454546, 0.5028571428571429, 0.42528735632183906, 0.41040462427745666]",0.2485663531136963,0.4180522565320665,176,421
gpt_one_example,9,0.2442127479982845,"[0.5410628019323671, 0.3786407766990291, 0.35121951219512193, 0.3480392156862745]",0.6139003224416526,0.672077922077922,207,308
gpt_one_example,4,0.22098640115968082,"[0.4827586206896552, 0.3333333333333333, 0.3130434782608696, 0.31004366812227074]",0.6251100365845775,0.6803519061583577,232,341
gpt_one_example,5,0.0,"[0.26973684210526316, 0.039735099337748346, 0.0, 0.0]",0.15744419349415859,0.3510392609699769,152,433
gpt_one_example,7,0.2557904045290857,"[0.35570469798657717, 0.2760942760942761, 0.24662162162162163, 0.24067796610169492]",0.9257220901086983,0.9283489096573209,298,321
gpt_one_example,6,0.0,"[0.22259136212624583, 0.05333333333333334, 0.0, 0.0]",0.8302349785034866,0.8431372549019608,301,357
gpt_one_example,3,0.21462882433516864,"[0.6069868995633187, 0.4166666666666667, 0.3568281938325991, 0.3230088495575221]",0.5194307211811123,0.604221635883905,229,379
gpt_one_example,1,0.2874435692028288,"[0.5146579804560261, 0.3366013071895425, 0.25245901639344265, 0.23684210526315788]",0.9010139599196839,0.9056047197640118,307,339
gpt_one_example,18,0.25015404220303056,"[0.50814332247557, 0.31699346405228757, 0.25245901639344265, 0.23355263157894737]",0.8013172272237893,0.8186666666666667,307,375
gpt_one_example,19,0.27351935599446237,"[0.4592833876221498, 0.2973856209150327, 0.25245901639344265, 0.23684210526315788]",0.9098618167593174,0.9136904761904762,307,336
claude_simple,17,0.0,"[0.2619047619047619, 0.043824701195219126, 0.004, 0.0]",0.6724514275370008,0.7159090909090909,252,352
claude_simple,16,0.0,"[0.34285714285714286, 0.08045977011494253, 0.017341040462427744, 0.0]",0.4030996695740623,0.5239520958083832,175,334
claude_simple,14,0.03904127667116965,"[0.3711340206185567, 0.12435233160621761, 0.052083333333333336, 0.02617801047120419]",0.4383479541842529,0.5480225988700564,194,354
claude_simple,15,0.0,"[0.24663677130044842, 0.02252252252252252, 0.004524886877828055, 0.0]",0.6531104846012732,0.7012578616352201,223,318
claude_simple,11,0.0,"[0.1878453038674033, 0.027777777777777776, 0.00558659217877095, 0.0]",0.5691928857071398,0.6395759717314488,181,283
claude_simple,10,0.0,"[0.2422360248447205, 0.05, 0.012578616352201259, 0.0]",0.29784557716401927,0.45224719101123595,161,356
claude_simple,12,0.0,"[0.3230240549828179, 0.02413793103448276, 0.0, 0.0]",0.7314585118788581,0.7617801047120419,291,382
claude_simple,13,0.0,"[0.20945945945945946, 0.013605442176870748, 0.0, 0.0]",0.16914024992162346,0.36009732360097324,148,411
claude_simple,8,0.0,"[0.30386740331491713, 0.044444444444444446, 0.00558659217877095, 0.0]",0.26554609147399594,0.42992874109263657,181,421
claude_simple,9,0.0,"[0.15384615384615385, 0.007042253521126761, 0.0, 0.0]",0.3154212746389477,0.4642857142857143,143,308
claude_simple,4,0.01065153037390987,"[0.08156028368794327, 0.014234875444839857, 0.007142857142857143, 0.0035842293906810036]",0.8112168633921084,0.8269794721407625,282,341
claude_simple,5,0.0,"[0.2512315270935961, 0.034653465346534656, 0.0, 0.0]",0.3220640223238948,0.46882217090069284,203,433
claude_simple,7,0.0,"[0.16194331983805668, 0.012195121951219513, 0.0, 0.0]",0.7411182078088937,0.7694704049844237,247,321
claude_simple,6,0.045750735343824435,"[0.3346153846153846, 0.09652509652509653, 0.03875968992248062, 0.01556420233463035]",0.6886122606326943,0.7282913165266106,260,357
claude_simple,2,0.0,"[0.27906976744186046, 0.03333333333333333, 0.0, 0.0]",0.7564871232025194,0.7818181818181819,301,385
claude_simple,3,0.0,"[0.3641304347826087, 0.09289617486338798, 0.016483516483516484, 0.0]",0.3465311349977313,0.48548812664907653,184,379
claude_simple,1,0.0,"[0.3275862068965517, 0.030303030303030304, 0.0, 0.0]",0.630522211030751,0.6843657817109144,232,339
claude_simple,18,0.0,"[0.3978494623655914, 0.10270270270270271, 0.010869565217391304, 0.0]",0.36199349669160164,0.496,186,375
claude_simple,19,0.0,"[0.32653061224489793, 0.07179487179487179, 0.010309278350515464, 0.0]",0.48954165955695317,0.5833333333333334,196,336
TrOCR,17,0.0,"[0.0, 0.0, 0.0, 0.0]",3.9399095262076047e-22,0.019886363636363636,7,352
TrOCR,16,0.0,"[0.0, 0.0, 0.0, 0.0]",2.335593038799337e-09,0.04790419161676647,16,334
TrOCR,14,0.0,"[0.0, 0.0, 0.0, 0.0]",4.855625272365953e-31,0.014124293785310734,5,354
TrOCR,15,0.0,"[0.0, 0.0, 0.0, 0.0]",2.6102790696677047e-23,0.018867924528301886,6,318
TrOCR,11,0.0,"[0.0, 0.0, 0.0, 0.0]",7.132254080957731e-25,0.0176678445229682,5,283
TrOCR,10,0.0,"[0.0, 0.0, 0.0, 0.0]",9.406128904299175e-16,0.028089887640449437,10,356
TrOCR,12,0.0,"[0.0, 0.0, 0.0, 0.0]",3.421929432264753e-08,0.0549738219895288,21,382
TrOCR,13,0.0,"[0.07142857142857142, 0.0, 0.0, 0.0]",4.837815867249721e-13,0.0340632603406326,14,411
TrOCR,8,0.0,"[0.0, 0.0, 0.0, 0.0]",3.078237950560657e-61,0.007125890736342043,3,421
TrOCR,9,0.0,"[0.0, 0.0, 0.0, 0.0]",1.8795288165390832e-12,0.03571428571428571,11,308
TrOCR,4,0.0,"[0.0, 0.0, 0.0, 0.0]",6.537486666326857e-30,0.01466275659824047,5,341
TrOCR,5,0.0,"[0.0, 0.0, 0.0, 0.0]",3.443117275306375e-10,0.04387990762124711,19,433
TrOCR,7,0.0,"[0.06666666666666667, 0.0, 0.0, 0.0]",1.381632591079536e-09,0.04672897196261682,15,321
TrOCR,6,0.0,"[0.0, 0.0, 0.0, 0.0]",3.924395857947463e-26,0.01680672268907563,6,357
TrOCR,2,0.0,"[0.0, 0.0, 0.0, 0.0]",2.966394999334992e-08,0.05454545454545454,21,385
