,Model,WER
0,gpt-4o,0.9038759689922481
1,gpt-4o,0.9119718309859155
2,gpt-4o,0.9434954007884363
3,gpt-4o,0.9084158415841584
4,gpt-4o,0.9122006841505131
5,gpt-4o,0.9390243902439024
6,gpt-4o,0.9011764705882352
7,gpt-4o,0.9329388560157791
8,gpt-4o,0.8806228373702422
9,gpt-4o,0.9751677852348993
10,gpt-4o,0.9633699633699634
11,gpt-4o,0.9073529411764706
12,gpt-4o,0.9311224489795918
13,gpt-4o,0.8524332810047096
14,gpt-4o,0.8820678513731826
15,gpt-4o,0.9718076285240465
16,gpt-4o,0.9016736401673641
17,gpt-4o,0.9621365787694388
18,gpt-4o,0.9376285126799178
19,gpt-4o,0.9033391915641477
20,claude-3-5-sonnet-20240620,0.7996108949416343
21,claude-3-5-sonnet-20240620,0.7641681901279708
22,claude-3-5-sonnet-20240620,0.8299120234604106
23,claude-3-5-sonnet-20240620,0.8645669291338582
24,claude-3-5-sonnet-20240620,0.8377997179125529
25,claude-3-5-sonnet-20240620,0.7569296375266524
26,claude-3-5-sonnet-20240620,0.6704545454545454
27,claude-3-5-sonnet-20240620,0.7871559633027523
28,claude-3-5-sonnet-20240620,0.6764705882352942
29,claude-3-5-sonnet-20240620,0.8442906574394463
30,claude-3-5-sonnet-20240620,0.872168284789644
31,claude-3-5-sonnet-20240620,0.8554744525547445
32,claude-3-5-sonnet-20240620,0.7810077519379846
33,claude-3-5-sonnet-20240620,0.8448275862068966
34,claude-3-5-sonnet-20240620,0.8306332842415317
35,claude-3-5-sonnet-20240620,0.8338068181818182
36,claude-3-5-sonnet-20240620,0.7766599597585513
37,claude-3-5-sonnet-20240620,0.8174273858921162
38,claude-3-5-sonnet-20240620,0.7695035460992907
39,claude-3-5-sonnet-20240620,0.7023121387283237
40,EasyOCR,0.9768211920529801
41,EasyOCR,0.975975975975976
42,EasyOCR,0.975975975975976
43,EasyOCR,0.9900662251655629
44,EasyOCR,0.9910979228486647
45,EasyOCR,0.9839743589743589
46,EasyOCR,0.9862542955326461
47,EasyOCR,0.9969040247678018
48,EasyOCR,0.9841269841269841
49,EasyOCR,0.9855595667870036
50,EasyOCR,0.9743589743589743
51,EasyOCR,0.9962962962962963
52,EasyOCR,0.9791666666666666
53,EasyOCR,0.9825783972125436
54,EasyOCR,0.9774436090225563
55,EasyOCR,0.9887640449438202
56,EasyOCR,0.9826388888888888
57,EasyOCR,0.9901639344262295
58,EasyOCR,0.9818840579710145
59,EasyOCR,0.98046875
60,Pytesseract,0.99581589958159
61,Pytesseract,0.9836065573770492
62,Pytesseract,1.233644859813084
63,Pytesseract,0.9875776397515528
64,Pytesseract,1.2109375
65,Pytesseract,0.989010989010989
66,Pytesseract,0.992831541218638
67,Pytesseract,1.8203592814371257
68,Pytesseract,0.9748201438848921
69,Pytesseract,1.0794392523364487
70,Pytesseract,1.0
71,Pytesseract,1.801418439716312
72,Pytesseract,1.0223880597014925
73,Pytesseract,1.0304347826086957
74,Pytesseract,0.9876543209876543
75,Pytesseract,0.9961977186311787
76,Pytesseract,0.9920948616600791
77,Pytesseract,1.1884057971014492
78,Pytesseract,0.9854014598540146
79,Pytesseract,0.9920948616600791
80,KerasOCR,0.9919354838709677
81,KerasOCR,1.0036101083032491
82,KerasOCR,0.9962825278810409
83,KerasOCR,0.991701244813278
84,KerasOCR,1.0443686006825939
85,KerasOCR,0.9923076923076923
86,KerasOCR,0.9958333333333333
87,KerasOCR,1.064748201438849
88,KerasOCR,0.9906103286384976
89,KerasOCR,1.040909090909091
90,KerasOCR,0.9950248756218906
91,KerasOCR,1.1447963800904977
92,KerasOCR,1.0073260073260073
93,KerasOCR,0.9958333333333333
94,KerasOCR,1.0
95,KerasOCR,0.991304347826087
96,KerasOCR,0.9869565217391304
97,KerasOCR,0.9881889763779528
98,KerasOCR,1.0
99,KerasOCR,0.9855072463768116
100,trOCR,23.0
101,trOCR,46.5
102,trOCR,12.714285714285714
103,trOCR,28.875
104,trOCR,62.4
105,trOCR,12.894736842105264
106,trOCR,36.0
107,trOCR,21.857142857142858
108,trOCR,64.66666666666667
109,trOCR,21.0
110,trOCR,17.0
111,trOCR,51.2
112,trOCR,13.095238095238095
113,trOCR,18.23076923076923
114,trOCR,41.8
115,trOCR,36.166666666666664
116,trOCR,13.9375
117,trOCR,35.285714285714285
118,trOCR,21.7
119,trOCR,15.23076923076923
