N° DATE DE DÉPÔT  DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES  DATE DU DÉCÈS ou de l'absence présumée  NOMS, PRÉNOMS  DROITS DE SUCCESSION  DROIT  NUMÉROS  DATE  RECETTE  OBSERVATIONS
DE LA  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU  des  de  DROITS  
DÉCLARATION  NOMS  PRÉNOMS  DOMICILES  DEMEURES DES PARTIES DÉCLARANTES  de mutation par décès  PERÇU
